Municipio,Latitud,Longitud
Aguascalientes-Aguascalientes,21.5247362,-102.1745768
Asientos-Aguascalientes,22.1417941,-102.052139
Calvillo-Aguascalientes,21.5048866,-102.4307502
CosÃ­o-Aguascalientes,22.2159071,-102.1800159
JesÃºs MarÃ­a-Aguascalientes,21.5740582,-102.2036299
PabellÃ³n de Arteaga-Aguascalientes,22.0857126,-102.163555
RincÃ³n de Romos-Aguascalientes,22.1345239,-102.1923047
San JosÃ© de Gracia-Aguascalientes,22.0900779,-102.2456281
TepezalÃ¡-Aguascalientes,22.132722,-102.1001097
El Llano-Aguascalientes,21.5507929,-101.5755106
San Francisco de los Romo-Aguascalientes,22.0420615,-102.1621642
Ensenada-Baja California,31.4832198,-116.3542482
Mexicali-Baja California,32.3828233,-115.2832084
Tecate-Baja California,32.3421644,-116.3735581
Tijuana-Baja California,32.3156859,-117.0108088
Playas de Rosarito-Baja California,32.2149263,-117.0316052
San QuintÃ­n-Baja California,30.3323347,-115.5620621
ComondÃº-Baja California Sur,25.0204688,-111.4024022
MulegÃ©-Baja California Sur,27.2012726,-112.1605789
La Paz-Baja California Sur,24.0855482,-110.1823724
Los Cabos-Baja California Sur,23.0341729,-109.4141097
Loreto-Baja California Sur,26.0046,-111.2036
CalkinÃ­-Campeche,20.2216414,-90.0302662
Campeche-Campeche,19.5041331,-90.3222737
Carmen-Campeche,18.3816042,-91.501122
ChampotÃ³n-Campeche,19.2122387,-90.4326008
HecelchakÃ¡n-Campeche,20.1037078,-90.0804262
HopelchÃ©n-Campeche,19.4443973,-89.5042157
Palizada-Campeche,18.1512954,-92.0527246
Tenabo-Campeche,20.0222837,-90.1332748
EscÃ¡rcega-Campeche,18.3615533,-90.4355203
Calakmul-Campeche,18.3019335,-89.2350192
Candelaria-Campeche,18.1100422,-91.0246657
Seybaplaya-Campeche,19.3821109,-90.4117884
Abasolo-Coahuila de Zaragoza,27.1055,-101.2535
AcuÃ±a-Coahuila de Zaragoza,29.194802,-100.584173
Allende-Coahuila de Zaragoza,28.205,-100.5115
Arteaga-Coahuila de Zaragoza,25.2702234,-100.5058641
Candela-Coahuila de Zaragoza,26.5025,-100.395
CastaÃ±os-Coahuila de Zaragoza,26.4707,-101.255
Cuatro CiÃ©negas-Coahuila de Zaragoza,26.5912709,-102.0401564
Escobedo-Coahuila de Zaragoza,27.1405,-101.2445
Francisco I. Madero-Coahuila de Zaragoza,25.463,-103.1623
Frontera-Coahuila de Zaragoza,26.5534,-101.2658
General Cepeda-Coahuila de Zaragoza,25.2247667,-101.284545
Guerrero-Coahuila de Zaragoza,28.1830306,-100.2243412
Hidalgo-Coahuila de Zaragoza,27.473005,-99.5233798
JimÃ©nez-Coahuila de Zaragoza,29.041311,-100.4027219
JuÃ¡rez-Coahuila de Zaragoza,27.3623423,-100.4337631
Lamadrid-Coahuila de Zaragoza,27.0254577,-101.4736957
Matamoros-Coahuila de Zaragoza,25.314129,-103.1349381
Monclova-Coahuila de Zaragoza,26.5404472,-101.2502008
Morelos-Coahuila de Zaragoza,28.2436376,-100.5311873
MÃºzquiz-Coahuila de Zaragoza,27.5239179,-101.3059464
Nadadores-Coahuila de Zaragoza,27.014451,-101.3531284
Nava-Coahuila de Zaragoza,28.2518749,-100.4603193
Ocampo-Coahuila de Zaragoza,27.1840374,-102.2350657
Parras-Coahuila de Zaragoza,25.261457,-102.1103008
Piedras Negras-Coahuila de Zaragoza,28.4229135,-100.3142389
Progreso-Coahuila de Zaragoza,27.254432,-100.591404
Ramos Arizpe-Coahuila de Zaragoza,25.3235641,-100.5702815
Sabinas-Coahuila de Zaragoza,27.5055998,-101.0711961
Sacramento-Coahuila de Zaragoza,27.0015979,-101.4330129
Saltillo-Coahuila de Zaragoza,25.2517993,-100.5958996
San Buenaventura-Coahuila de Zaragoza,27.0336926,-101.3300103
San Juan de Sabinas-Coahuila de Zaragoza,27.5545805,-101.1811856
San Pedro-Coahuila de Zaragoza,25.4528,-102.5859365
Sierra Mojada-Coahuila de Zaragoza,27.1712757,-103.4205244
TorreÃ³n-Coahuila de Zaragoza,25.3230312,-103.2711018
Viesca-Coahuila de Zaragoza,25.2036979,-102.4822861
Villa UniÃ³n-Coahuila de Zaragoza,28.1313792,-100.4330558
Zaragoza-Coahuila de Zaragoza,28.2913355,-100.5503438
ArmerÃ­a-Colima,18.5613462,-103.575399
Colima-Colima,19.143452,-103.4341228
Comala-Colima,19.1923515,-103.4531684
CoquimatlÃ¡n-Colima,19.1205076,-103.4839301
CuauhtÃ©moc-Colima,19.1943588,-103.3606698
IxtlahuacÃ¡n-Colima,19.0004261,-103.4418936
Manzanillo-Colima,19.0311541,-104.185897
MinatitlÃ¡n-Colima,19.2309996,-104.0258693
TecomÃ¡n-Colima,18.5438175,-103.522564
Villa de Ãlvarez-Colima,19.1553195,-103.4412331
Acacoyagua-Chiapas,15.2027475,-92.4028622
Acala-Chiapas,16.3306025,-92.482703
Acapetahua-Chiapas,15.1658216,-92.4120875
Altamirano-Chiapas,16.4409313,-92.0218937
AmatÃ¡n-Chiapas,17.2222254,-92.4908843
Amatenango de la Frontera-Chiapas,15.2606038,-92.0654568
Amatenango del Valle-Chiapas,16.3142605,-92.2607766
Angel Albino Corzo-Chiapas,15.522152,-92.4330287
Arriaga-Chiapas,16.1409834,-93.5358104
Bejucal de Ocampo-Chiapas,15.2719415,-92.0930265
Bella Vista-Chiapas,15.3458791,-92.1441445
BerriozÃ¡bal-Chiapas,16.4801155,-93.1623777
Bochil-Chiapas,16.594698,-92.5324788
El Bosque-Chiapas,17.0343957,-92.4317072
CacahoatÃ¡n-Chiapas,14.5923239,-92.1005197
CatazajÃ¡-Chiapas,17.4341957,-92.0058918
Cintalapa-Chiapas,16.4155256,-93.4313541
Coapilla-Chiapas,17.0750849,-93.0932479
ComitÃ¡n de DomÃ­nguez-Chiapas,16.1508858,-92.0809006
La Concordia-Chiapas,16.0700177,-92.4116562
CopainalÃ¡-Chiapas,17.0537,-93.1238
ChalchihuitÃ¡n-Chiapas,16.5748257,-92.3706223
Chamula-Chiapas,16.4715,-92.4121
Chanal-Chiapas,16.3936223,-92.1535792
Chapultenango-Chiapas,17.2025442,-93.0748282
ChenalhÃ³-Chiapas,16.5339397,-92.3734133
Chiapa de Corzo-Chiapas,16.4228649,-93.0057453
Chiapilla-Chiapas,16.3413775,-92.431209
ChicoasÃ©n-Chiapas,16.5802118,-93.0618846
Chicomuselo-Chiapas,15.444177,-92.1659834
ChilÃ³n-Chiapas,17.0619769,-92.1617502
Escuintla-Chiapas,15.190937,-92.393081
Francisco LeÃ³n-Chiapas,17.2100635,-93.1834407
Frontera Comalapa-Chiapas,15.393659,-92.082778
Frontera Hidalgo-Chiapas,14.4640215,-92.103354
La Grandeza-Chiapas,15.3036469,-92.1333168
HuehuetÃ¡n-Chiapas,15.0106671,-92.2303051
HuixtÃ¡n-Chiapas,16.4243742,-92.2716549
HuitiupÃ¡n-Chiapas,17.1023634,-92.4109355
Huixtla-Chiapas,15.0817839,-92.2756944
La Independencia-Chiapas,16.1514946,-92.0125828
IxhuatÃ¡n-Chiapas,17.1735775,-93.0030175
IxtacomitÃ¡n-Chiapas,17.2550862,-93.0547661
Ixtapa-Chiapas,16.4812691,-92.542125
Ixtapangajoya-Chiapas,17.295114,-93.0005997
Jiquipilas-Chiapas,16.4003797,-93.3901711
Jitotol-Chiapas,17.0404683,-92.514441
JuÃ¡rez-Chiapas,17.3629344,-93.1135991
LarrÃ¡inzar-Chiapas,16.5304006,-92.424773
La Libertad-Chiapas,17.4124491,-91.4308624
Mapastepec-Chiapas,15.2628083,-92.5329781
Las Margaritas-Chiapas,16.185741,-91.5853646
Mazapa de Madero-Chiapas,15.2316677,-92.1115845
MazatÃ¡n-Chiapas,14.5146891,-92.2658095
Metapa-Chiapas,14.5014331,-92.1127401
Mitontic-Chiapas,16.5152095,-92.3746745
Motozintla-Chiapas,15.2147402,-92.145188
NicolÃ¡s RuÃ­z-Chiapas,16.2613463,-92.350725
Ocosingo-Chiapas,16.5428938,-92.0544976
Ocotepec-Chiapas,17.1330105,-93.0951859
Ocozocoautla de Espinosa-Chiapas,16.4541263,-93.2232349
OstuacÃ¡n-Chiapas,17.2420128,-93.2013691
Osumacinta-Chiapas,16.5607681,-93.0528814
Oxchuc-Chiapas,16.471003,-92.20057
Palenque-Chiapas,17.303288,-91.585172
PantelhÃ³-Chiapas,17.0023971,-92.2810487
Pantepec-Chiapas,17.1117131,-93.0258365
Pichucalco-Chiapas,17.3030783,-93.0703963
Pijijiapan-Chiapas,15.4130025,-93.1233541
El Porvenir-Chiapas,15.2722922,-92.1646705
Villa ComaltitlÃ¡n-Chiapas,15.1242975,-92.3433687
Pueblo Nuevo SolistahuacÃ¡n-Chiapas,17.0927245,-92.535036
RayÃ³n-Chiapas,17.1201812,-93.0040382
Reforma-Chiapas,17.5156923,-93.0849589
Las Rosas-Chiapas,16.2150875,-92.221049
Sabanilla-Chiapas,17.1700543,-92.3306192
Salto de Agua-Chiapas,17.3325275,-92.2000319
San CristÃ³bal de las Casas-Chiapas,16.441328,-92.381523
San Fernando-Chiapas,16.5218163,-93.1222625
Siltepec-Chiapas,15.3325866,-92.1922296
Simojovel-Chiapas,17.0826974,-92.425475
SitalÃ¡-Chiapas,17.0130183,-92.1827874
Socoltenango-Chiapas,16.1434618,-92.2101137
Solosuchiapa-Chiapas,17.254316,-93.0152246
SoyalÃ³-Chiapas,16.5327573,-92.5531044
Suchiapa-Chiapas,16.3719049,-93.0617258
Suchiate-Chiapas,14.4046028,-92.0903392
Sunuapa-Chiapas,17.292176,-93.143541
Tapachula-Chiapas,14.5439857,-92.1551552
Tapalapa-Chiapas,17.1124173,-93.0616577
Tapilula-Chiapas,17.145425,-93.005853
TecpatÃ¡n-Chiapas,17.0813183,-93.1841284
Tenejapa-Chiapas,16.490846,-92.302337
Teopisca-Chiapas,16.322945,-92.282135
Tila-Chiapas,17.1802285,-92.2533113
TonalÃ¡-Chiapas,16.052888,-93.450642
Totolapa-Chiapas,16.3241037,-92.4049354
La Trinitaria-Chiapas,16.0708614,-92.030169
TumbalÃ¡-Chiapas,17.1642468,-92.1857556
Tuxtla GutiÃ©rrez-Chiapas,16.45143,-93.065469
Tuxtla Chico-Chiapas,14.5624683,-92.1008291
TuzantÃ¡n-Chiapas,15.0845828,-92.2517834
Tzimol-Chiapas,16.1103233,-92.1116572
UniÃ³n JuÃ¡rez-Chiapas,15.0338546,-92.0455048
Venustiano Carranza-Chiapas,16.2022622,-92.3354487
Villa Corzo-Chiapas,16.1105104,-93.1603661
Villaflores-Chiapas,16.1407749,-93.1603747
YajalÃ³n-Chiapas,17.1026076,-92.2002199
San Lucas-Chiapas,16.3641892,-92.4309632
ZinacantÃ¡n-Chiapas,16.4536428,-92.432489
San Juan Cancuc-Chiapas,16.5332076,-92.2219029
Aldama-Chiapas,16.5504144,-92.4117491
BenemÃ©rito de las AmÃ©ricas-Chiapas,16.3056981,-90.3911887
Maravilla Tenejapa-Chiapas,16.0825428,-91.1742373
MarquÃ©s de Comillas-Chiapas,16.195928,-90.455502
Montecristo de Guerrero-Chiapas,15.4138103,-92.3709336
San AndrÃ©s Duraznal-Chiapas,17.0755191,-92.4817955
Santiago el Pinar-Chiapas,16.5629177,-92.4252545
CapitÃ¡n Luis Ãngel Vidal-Chiapas,15.360406,-92.3744751
