Estado,Ciudad,Longitud,Latitud
Aguascalientes,Aguascalientes,-102.1745768,21.5247362
Aguascalientes,Asientos,-102.052139,22.1417941
Aguascalientes,Calvillo,-102.4307502,21.5048866
Aguascalientes,CosÃ­o,-102.1800159,22.2159071
Aguascalientes,JesÃºs MarÃ­a,-102.2036299,21.5740582
Aguascalientes,PabellÃ³n de Arteaga,-102.163555,22.0857126
Aguascalientes,RincÃ³n de Romos,-102.1923047,22.1345239
Aguascalientes,San JosÃ© de Gracia,-102.2456281,22.0900779
Aguascalientes,TepezalÃ¡,-102.1001097,22.132722
Aguascalientes,El Llano,-101.5755106,21.5507929
Aguascalientes,San Francisco de los Romo,-102.1621642,22.0420615
Baja California,Ensenada,-116.3542482,31.4832198
Baja California,Mexicali,-115.2832084,32.3828233
Baja California,Tecate,-116.3735581,32.3421644
Baja California,Tijuana,-117.0108088,32.3156859
Baja California,Playas de Rosarito,-117.0316052,32.2149263
Baja California,San QuintÃ­n,-115.5620621,30.3323347
Baja California Sur,ComondÃº,-111.4024022,25.0204688
Baja California Sur,MulegÃ©,-112.1605789,27.2012726
Baja California Sur,La Paz,-110.1823724,24.0855482
Baja California Sur,Los Cabos,-109.4141097,23.0341729
Baja California Sur,Loreto,-111.2036,26.0046
Campeche,CalkinÃ­,-90.0302662,20.2216414
Campeche,Campeche,-90.3222737,19.5041331
Campeche,Carmen,-91.501122,18.3816042
Campeche,ChampotÃ³n,-90.4326008,19.2122387
Campeche,HecelchakÃ¡n,-90.0804262,20.1037078
Campeche,HopelchÃ©n,-89.5042157,19.4443973
Campeche,Palizada,-92.0527246,18.1512954
Campeche,Tenabo,-90.1332748,20.0222837
Campeche,EscÃ¡rcega,-90.4355203,18.3615533
Campeche,Calakmul,-89.2350192,18.3019335
Campeche,Candelaria,-91.0246657,18.1100422
Campeche,Seybaplaya,-90.4117884,19.3821109
Coahuila de Zaragoza,Abasolo,-101.2535,27.1055
Coahuila de Zaragoza,AcuÃ±a,-100.584173,29.194802
Coahuila de Zaragoza,Allende,-100.5115,28.205
Coahuila de Zaragoza,Arteaga,-100.5058641,25.2702234
Coahuila de Zaragoza,Candela,-100.395,26.5025
Coahuila de Zaragoza,CastaÃ±os,-101.255,26.4707
Coahuila de Zaragoza,Cuatro CiÃ©negas,-102.0401564,26.5912709
Coahuila de Zaragoza,Escobedo,-101.2445,27.1405
Coahuila de Zaragoza,Francisco I. Madero,-103.1623,25.463
Coahuila de Zaragoza,Frontera,-101.2658,26.5534
Coahuila de Zaragoza,General Cepeda,-101.284545,25.2247667
Coahuila de Zaragoza,Guerrero,-100.2243412,28.1830306
Coahuila de Zaragoza,Hidalgo,-99.5233798,27.473005
Coahuila de Zaragoza,JimÃ©nez,-100.4027219,29.041311
Coahuila de Zaragoza,JuÃ¡rez,-100.4337631,27.3623423
Coahuila de Zaragoza,Lamadrid,-101.4736957,27.0254577
Coahuila de Zaragoza,Matamoros,-103.1349381,25.314129
Coahuila de Zaragoza,Monclova,-101.2502008,26.5404472
Coahuila de Zaragoza,Morelos,-100.5311873,28.2436376
Coahuila de Zaragoza,MÃºzquiz,-101.3059464,27.5239179
Coahuila de Zaragoza,Nadadores,-101.3531284,27.014451
Coahuila de Zaragoza,Nava,-100.4603193,28.2518749
Coahuila de Zaragoza,Ocampo,-102.2350657,27.1840374
Coahuila de Zaragoza,Parras,-102.1103008,25.261457
Coahuila de Zaragoza,Piedras Negras,-100.3142389,28.4229135
Coahuila de Zaragoza,Progreso,-100.591404,27.254432
Coahuila de Zaragoza,Ramos Arizpe,-100.5702815,25.3235641
Coahuila de Zaragoza,Sabinas,-101.0711961,27.5055998
Coahuila de Zaragoza,Sacramento,-101.4330129,27.0015979
Coahuila de Zaragoza,Saltillo,-100.5958996,25.2517993
Coahuila de Zaragoza,San Buenaventura,-101.3300103,27.0336926
Coahuila de Zaragoza,San Juan de Sabinas,-101.1811856,27.5545805
Coahuila de Zaragoza,San Pedro,-102.5859365,25.4528
Coahuila de Zaragoza,Sierra Mojada,-103.4205244,27.1712757
Coahuila de Zaragoza,TorreÃ³n,-103.2711018,25.3230312
Coahuila de Zaragoza,Viesca,-102.4822861,25.2036979
Coahuila de Zaragoza,Villa UniÃ³n,-100.4330558,28.1313792
Coahuila de Zaragoza,Zaragoza,-100.5503438,28.2913355
Colima,ArmerÃ­a,-103.575399,18.5613462
Colima,Colima,-103.4341228,19.143452
Colima,Comala,-103.4531684,19.1923515
Colima,CoquimatlÃ¡n,-103.4839301,19.1205076
Colima,CuauhtÃ©moc,-103.3606698,19.1943588
Colima,IxtlahuacÃ¡n,-103.4418936,19.0004261
Colima,Manzanillo,-104.185897,19.0311541
Colima,MinatitlÃ¡n,-104.0258693,19.2309996
Colima,TecomÃ¡n,-103.522564,18.5438175
Colima,Villa de Ãlvarez,-103.4412331,19.1553195
Chiapas,Acacoyagua,-92.4028622,15.2027475
Chiapas,Acala,-92.482703,16.3306025
Chiapas,Acapetahua,-92.4120875,15.1658216
Chiapas,Altamirano,-92.0218937,16.4409313
Chiapas,AmatÃ¡n,-92.4908843,17.2222254
Chiapas,Amatenango de la Frontera,-92.0654568,15.2606038
Chiapas,Amatenango del Valle,-92.2607766,16.3142605
Chiapas,Angel Albino Corzo,-92.4330287,15.522152
Chiapas,Arriaga,-93.5358104,16.1409834
Chiapas,Bejucal de Ocampo,-92.0930265,15.2719415
Chiapas,Bella Vista,-92.1441445,15.3458791
Chiapas,BerriozÃ¡bal,-93.1623777,16.4801155
Chiapas,Bochil,-92.5324788,16.594698
Chiapas,El Bosque,-92.4317072,17.0343957
Chiapas,CacahoatÃ¡n,-92.1005197,14.5923239
Chiapas,CatazajÃ¡,-92.0058918,17.4341957
Chiapas,Cintalapa,-93.4313541,16.4155256
Chiapas,Coapilla,-93.0932479,17.0750849
Chiapas,ComitÃ¡n de DomÃ­nguez,-92.0809006,16.1508858
Chiapas,La Concordia,-92.4116562,16.0700177
Chiapas,CopainalÃ¡,-93.1238,17.0537
Chiapas,ChalchihuitÃ¡n,-92.3706223,16.5748257
Chiapas,Chamula,-92.4121,16.4715
Chiapas,Chanal,-92.1535792,16.3936223
Chiapas,Chapultenango,-93.0748282,17.2025442
Chiapas,ChenalhÃ³,-92.3734133,16.5339397
Chiapas,Chiapa de Corzo,-93.0057453,16.4228649
Chiapas,Chiapilla,-92.431209,16.3413775
Chiapas,ChicoasÃ©n,-93.0618846,16.5802118
Chiapas,Chicomuselo,-92.1659834,15.444177
Chiapas,ChilÃ³n,-92.1617502,17.0619769
Chiapas,Escuintla,-92.393081,15.190937
Chiapas,Francisco LeÃ³n,-93.1834407,17.2100635
Chiapas,Frontera Comalapa,-92.082778,15.393659
